ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0001906	GO:0001906	cell killing	44/1648	189/18903	1.14755313841406e-09	1.1655578514478e-07	8.68891414421678e-08	ARRB2/BCL2L1/CD1D/CD55/CD59/CEACAM1/CHGA/CLEC7A/CORO1A/CR1L/CRK/CYRIB/F2RL1/FADD/FCGR1A/GAPDH/H2BC12/HLA-B/HLA-E/ICAM1/IL12A/IL12B/IL18/ITGAM/KLRC1/LAMP1/LGALS9/LYST/LYZ/MYD88/PLEKHM2/PTPN6/PTPRC/RNF19B/S100A12/SPI1/STAT5B/STXBP2/SYK/TREM1/TUBB4B/TYROBP/UNC13D/VAV1	44	MEbrown
GO:0050777	GO:0050777	negative regulation of immune response	44/1648	190/18903	1.36938616948593e-09	1.34450898740693e-07	1.00229457878865e-07	ADAR/ARRB2/BCL6/CCR2/CD300A/CD55/CD59/CEACAM1/CLEC4G/CR1/CR1L/CRK/FGL2/FGR/FURIN/GRN/HCK/HFE/HLA-B/HLA-E/HLX/IL12B/IL4I1/IL4R/IRAK3/JAK3/KLRC1/LGALS9/LILRB4/LYN/MAPK14/MUL1/NLRX1/NMI/NOD2/NR1H2/PTPN6/PTPRC/SPI1/SYK/TRIM21/VSIG4/ZBTB7B/ZDHHC18	44	MEbrown
GO:0002367	GO:0002367	cytokine production involved in immune response	33/1648	120/18903	1.57870447811373e-09	1.47621398104254e-07	1.10047703971437e-07	ARID5A/BCL10/BCL6/CCR2/CD36/CD55/CLEC7A/CLNK/F2RL1/HFE/HLA-E/IL18/IL1R1/IRAK3/JAK3/LAPTM5/LILRB4/LITAF/MAPKAPK2/MYD88/NLRP3/NLRX1/NOD2/PLCG2/SCIMP/SLAMF9/SYK/TGFB1/TLR4/TLR9/TNFRSF1B/TREM1/UBE2J1	33	MEbrown
GO:0007015	GO:0007015	actin filament organization	79/1648	454/18903	1.91990093016862e-09	1.76720880931615e-07	1.3174057040565e-07	ACTN1/ARAP1/ARF1/ARFIP1/ARHGAP25/ARHGEF10L/ARHGEF2/ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/ARPIN/BAIAP2/CAPG/CAPZA2/CASS4/CATIP/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CFL1/CORO1A/CORO1C/CRACD/CTNNA1/CYFIP1/CYRIA/CYRIB/DBN1/F11R/F2RL1/FLII/GAS7/GMFG/GRB2/GSN/HCK/HCLS1/HIP1/ID1/LCP1/LPAR1/MSRB1/MSRB2/MYADM/MYO1F/MYO7A/NEDD9/PAK1/PAK2/PHACTR1/PPM1F/PPP1R9B/PREX1/PRKCD/PSTPIP1/PXN/RAC1/RAC2/RAPGEF3/RFLNB/RHOA/RHOB/RHOG/SHROOM1/SHTN1/SLC9A1/SSH2/SSH3/SVIL/TMOD1/TRIOBP/TRPV4/TWF2/VASP/WAS/ZYX	79	MEbrown
GO:0050866	GO:0050866	negative regulation of cell activation	48/1648	221/18903	2.42826358636308e-09	2.16740921019165e-07	1.61574412795961e-07	ABAT/ADORA2A/BCL6/CCR2/CD300A/CD300LF/CEACAM1/CEBPB/CLEC4G/CLNK/CNR1/CR1/DUSP3/FGL2/FGR/GLI3/GRN/HFE/HLX/IL4I1/IL4R/IRF1/JAK3/LAPTM5/LGALS9/LGALS9C/LILRB2/LILRB4/LST1/LYN/MERTK/MILR1/MNDA/PELI1/PRKAR1A/PRKCD/PTEN/PTPN6/PTPRC/RIPOR2/SH2B3/SPI1/THBD/TNFAIP8L2/TYROBP/VSIG4/VSIR/ZBTB7B	48	MEbrown
GO:0006898	GO:0006898	receptor-mediated endocytosis	53/1648	257/18903	2.54812529268302e-09	2.18726912053236e-07	1.63054914648769e-07	ADM/ARF1/ARHGAP27/ARRB2/ASGR1/BMP2K/CAP1/CBL/CD14/CD36/CD63/CEACAM1/CLTB/CLTCL1/CXCR1/CXCR2/DLG4/DRD3/FCGR1A/FCHO1/FCHO2/FLOT1/GRB2/GRK2/HFE/HIP1/IGF2R/ITGAM/ITGB2/LILRB4/LRP1/LRPAP1/NUMB/PDLIM7/PICALM/PLCG2/PPP3R1/PPT1/RAB31/RAB5A/RAC1/RALB/RAMP1/RIN3/SCARF1/SDCBP/SNCA/SORL1/STAB1/SYK/TGFBR2/TPCN2/UNC119	53	MEbrown
GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	24/1648	71/18903	2.97236614945866e-09	2.4662266178114e-07	1.83850431068073e-07	CD36/CLEC7A/CYBA/CYP1B1/F2RL1/FOXO3/FPR2/GNAI2/GNAI3/GRB2/ITGAM/ITGB2/MAPK14/NFE2L2/PLCG2/PRKCD/SNCA/SOD2/SYK/TGFB1/TGFBR2/TLR4/TLR6/TYROBP	24	MEbrown
GO:0018212	GO:0018212	peptidyl-tyrosine modification	69/1648	382/18903	4.23012572602934e-09	3.32262275360518e-07	2.47692414442027e-07	AATK/ARHGEF2/ARRB2/BMX/BST1/CAMKK2/CASS4/CBL/CCL5/CD300A/CD36/CSK/DLG4/EFNA1/EFNA5/EPHA10/EPHB1/FCGR1A/FES/FGR/HCK/HCLS1/HIPK3/HYAL2/IGF1R/IL12A/IL12B/IL18/IL6R/ITGA5/ITGB2/JAK3/LIF/LILRB4/LRRK1/LYN/MAP2K4/MAPK3/MERTK/MVP/NCF1/NEDD9/NEURL1/NOD2/NRG1/OSM/PAK2/PDGFD/PECAM1/PKM/PLCG2/PRKCD/PSEN1/PTPN6/PTPRC/PTPRJ/SCYL1/SH2B3/SH3BP5L/SOCS3/SYK/TGFA/TGFB1/TNFRSF1A/TPST1/TSG101/TSLP/UNC119/ZNF592	69	MEbrown
GO:0051051	GO:0051051	negative regulation of transport	81/1648	479/18903	4.6873131578442e-09	3.57807527834894e-07	2.66735699618004e-07	ABAT/ARFIP1/ATG3/CAB39/CCR2/CD300A/CD300LF/CD33/CD36/CEACAM1/CHGA/CHP1/CNN2/CNR1/CORO1A/CSK/CYFIP1/DLG4/DRD3/DYSF/GABRE/GNAI2/GPR35/GRB10/GSK3A/HECW2/HMGCR/IL12A/IL12B/KCNB1/KCNE1/KCNE3/KLF7/LGALS9/LIF/LILRB2/LRPAP1/LRRK2/MCTP1/MIDN/MMP9/NOTCH1/NR1H2/NRG1/NTSR1/OAZ2/OPRL1/OS9/OSM/OXT/PACSIN2/PICALM/PIM3/PIP4P2/PNKD/PPIF/PPM1F/PPP3CA/PPP3R1/PRKG2/PTEN/PTGS2/PXK/RAB11FIP1/RAB33B/RAB7A/RAC1/RIN3/SDCBP/SIRPA/SLC43A2/SNCA/SPI1/TLR9/TMBIM6/TNFRSF1A/TNFRSF1B/UBE2J1/UNC119/VAMP3/WWP2	81	MEbrown
GO:0043303	GO:0043303	mast cell degranulation	20/1648	52/18903	4.73756360059781e-09	3.57807527834894e-07	2.66735699618004e-07	ADGRE2/CBL/CD300A/CHGA/CLNK/FES/FGR/GAB2/IL4R/LAT2/LGALS9/LYN/MILR1/MRGPRX2/PIK3CD/RAC2/SNAP23/STXBP2/SYK/UNC13D	20	MEbrown
GO:0022411	GO:0022411	cellular component disassembly	81/1648	483/18903	6.91856793221368e-09	4.9704004498379e-07	3.70529722890828e-07	ADAM15/ADAM8/ADAMTS5/APAF1/ARHGEF2/ASPH/ATG3/ATG7/BNIP3L/CAMKK2/CAPG/CAPZA2/CFL1/CHMP1A/CHMP2A/CHMP4B/CRACD/CTSS/DEDD2/DHX8/DUSP3/F2RL1/FGF13/FLII/FLOT1/FRAT1/FUNDC2/FURIN/GABARAP/GABARAPL2/GSK3A/GSK3B/GSN/HK2/IGF1R/IQSEC1/IRAK3/ITGAM/LAMP2/LCP1/LRP1/MAP1LC3B/MAP1LC3B2/MAP4K4/MARK2/MFN2/MID1IP1/MMP19/MMP9/MUL1/NCKAP5L/NDEL1/NEDD9/NEK6/NFE2/PELO/PHF23/PLIN3/PLK3/PNPLA2/PPP1R9B/RETREG2/RUBCNL/SH3GL1/SH3PXD2B/SHARPIN/SMARCD3/SQSTM1/ST20/SVIL/TGFB1/TMOD1/TOM1/TRIM58/TRIOBP/TRPV4/TSG101/TWF2/ULK1/UPF1/VMP1	81	MEbrown
GO:0050764	GO:0050764	regulation of phagocytosis	29/1648	103/18903	8.48846200933613e-09	5.8830034937646e-07	4.3856177712632e-07	ATG3/CAMK1D/CD300A/CD300LF/CD36/CFP/CLEC7A/CNN2/CSK/CYBA/DYSF/F2RL1/FCGR1A/FCN1/FGR/FPR2/HCK/MERTK/NOD2/PIP4P2/PLCG2/PTPRC/PTPRJ/RAB31/SIRPA/SIRPB1/SLC11A1/SPHK1/SYK	29	MEbrown
GO:0051258	GO:0051258	protein polymerization	55/1648	281/18903	9.078399741488e-09	6.21870382291928e-07	4.63587316052484e-07	ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/BAIAP2/CAPG/CAPZA2/CATIP/CDC42EP1/CDC42EP3/CDC42EP4/CHMP2A/CHMP4B/CORO1A/CRACD/CYFIP1/CYRIA/CYRIB/DBN1/FES/FGF13/FLII/GAS7/GRB2/GSN/HCK/HCLS1/HSPA1A/HSPA1B/MAPRE3/MID1IP1/MSRB1/MSRB2/MYADM/NDE1/NDEL1/PAK1/PREX1/PRKCD/PSRC1/PSTPIP1/RAC1/RHOA/RNF135/SNCA/SSH2/SSH3/SVIL/TMOD1/TRIOBP/TRPV4/TWF2/VASP/WAS	55	MEbrown
GO:0070663	GO:0070663	regulation of leukocyte proliferation	53/1648	269/18903	1.33198165129392e-08	9.01919989399136e-07	6.72356618172805e-07	BCL2L1/BCL6/BID/BST1/CCL5/CCR2/CD1D/CD300A/CD55/CEBPB/CLEC4G/CNN2/CORO1A/CR1/CSF2RA/CSF2RB/FADD/HHEX/HLA-E/IL12A/IL12B/IL18/IL4I1/IRF1/JAK3/LGALS9/LGALS9C/LILRB2/LILRB4/LST1/LYN/MAPK3/MNDA/MYD88/PELI1/PPP3CA/PRKAR1A/PTEN/PTPN6/PTPRC/RAC2/SOS2/STAT5B/SYK/TGFBR2/TLR4/TLR9/TNFRSF1B/TNFRSF9/TYROBP/VSIG4/VSIR/ZBTB7B	53	MEbrown
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	31/1648	118/18903	1.60764769013515e-08	1.05229472695402e-06	7.8445686119811e-07	ARID5A/BCL10/BCL6/CCR2/CD36/CD55/CLEC7A/CLNK/F2RL1/HFE/HLA-E/IL18/IL1R1/IRAK3/JAK3/LAPTM5/LILRB4/LITAF/MAPKAPK2/MYD88/NLRP3/NLRX1/NOD2/PLCG2/SCIMP/SYK/TGFB1/TLR4/TLR9/TNFRSF1B/UBE2J1	31	MEbrown
GO:0001659	GO:0001659	temperature homeostasis	40/1648	178/18903	1.87459424020478e-08	1.21354227132377e-06	9.04662483532022e-07	ABAT/ACSL1/ADAMTS5/ARRDC3/CCR2/CD36/CEBPB/CNR1/CXCR4/DDIT3/DHRS7B/EGR1/G0S2/GRB10/ID1/IGF1R/IL18/IL4R/IP6K1/KDM6B/MFN2/NOTCH1/NR1H2/NRDC/NTSR1/OXT/PCTP/PTGS2/RBPJ/SLC25A44/SQSTM1/STAT3/SYK/TFE3/TLE3/TLR4/TNFRSF11A/TRPM2/ZBTB7B/ZNF516	40	MEbrown
GO:0032970	GO:0032970	regulation of actin filament-based process	70/1648	406/18903	2.35614215007771e-08	1.49247671033417e-06	1.11260045841813e-06	ARAP1/ARF1/ARFIP1/ARHGDIB/ARHGEF10L/ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/ARPIN/BAIAP2/BST1/CAPG/CAPZA2/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CNN2/CORO1A/CRACD/CRK/CYFIP1/CYRIA/CYRIB/DBN1/DSC2/EFNA5/F11R/F2RL1/FES/FGF13/FLII/GMFG/GRB2/GSN/HCK/HCLS1/ID1/IQGAP1/KCNJ2/LPAR1/LRP1/MYADM/MYBPC3/NEDD9/NOTCH2/PAK1/PAK2/PPM1F/PRKCD/PXN/RAC1/RAC2/RAPGEF3/RHOA/RHOB/RHOG/RYR2/SLC9A1/SSH2/SSH3/SVIL/TMOD1/TRIOBP/TRPM2/TWF2/VASP/WAS	70	MEbrown
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	33/1648	134/18903	3.14214840552431e-08	1.94685529260816e-06	1.45132723079117e-06	ARRB2/CD1D/CEACAM1/CORO1A/CRK/CYRIB/F2RL1/FADD/FCGR1A/HLA-B/HLA-E/ICAM1/IL12A/IL12B/IL18/ITGAM/KLRC1/LAMP1/LGALS9/LYST/MYD88/PLEKHM2/PTPN6/PTPRC/RNF19B/SPI1/STAT5B/STXBP2/TREM1/TUBB4B/TYROBP/UNC13D/VAV1	33	MEbrown
GO:0031663	GO:0031663	lipopolysaccharide-mediated signaling pathway	21/1648	63/18903	3.79358288323747e-08	2.23479967651519e-06	1.66598187251229e-06	BCL10/CCL5/CD14/CD36/CD55/HCK/IL18/LILRA2/LYN/MAPK14/MAPK3/MYD88/NFKBIA/NFKBIL1/PLCG2/PTAFR/SCIMP/SPI1/TGFB1/TLR4/TRIB1	21	MEbrown
GO:0052548	GO:0052548	regulation of endopeptidase activity	72/1648	428/18903	4.18848936993463e-08	2.44300899784999e-06	1.82119621171102e-06	ADORA2A/AIM2/AKIRIN2/APAF1/APLP2/ARRB2/ASPH/BBC3/BCAP31/BCL10/BCL2L11/BID/CFLAR/CLEC7A/COL7A1/CPAMD8/CR1/CSTB/CTSD/DAP/DAPK1/EFNA1/FADD/FNIP1/FURIN/GAPDH/GSN/HIP1/LAPTM5/LGALS9/LYN/MAP3K5/MBP/MEFV/MMP9/MUL1/NAIP/NCSTN/NGFR/NLRP12/NLRP3/NOL3/NRDC/P2RX1/PAK2/PICALM/PLAUR/PPM1F/PRELID1/PROS1/PTGS2/RAF1/RENBP/RHOA/RPS6KA1/S100A8/SERPINA1/SERPINB1/SNCA/SORL1/SPINT1/SPINT2/SPOCK1/ST20/STAT3/SYK/TIMP2/TIMP4/TNFSF10/TNFSF14/VSIR/WFDC1	72	MEbrown
GO:0070661	GO:0070661	leukocyte proliferation	62/1648	348/18903	4.35245353853564e-08	2.51375527406995e-06	1.87393562051297e-06	BCL2L1/BCL6/BID/BST1/CCL5/CCR2/CD151/CD1D/CD300A/CD55/CEBPB/CLEC4G/CNN2/CORO1A/CR1/CSF2RA/CSF2RB/F2RL1/FADD/HHEX/HLA-E/IL12A/IL12B/IL18/IL4I1/IRF1/JAK3/JUNB/LGALS9/LGALS9C/LILRB2/LILRB4/LST1/LYN/MAPK3/MNDA/MSN/MYD88/NCSTN/PELI1/PPP3CA/PRKAR1A/PRKCD/PTEN/PTPN6/PTPRC/RAC2/SLC11A1/SOS2/STAT5B/SYK/TCIRG1/TGFBR2/TLR4/TLR9/TNFRSF1B/TNFRSF9/TNFSF14/TYROBP/VSIG4/VSIR/ZBTB7B	62	MEbrown
GO:0032956	GO:0032956	regulation of actin cytoskeleton organization	64/1648	365/18903	4.91361546241857e-08	2.78327968164498e-06	2.07485867502128e-06	ARAP1/ARF1/ARFIP1/ARHGDIB/ARHGEF10L/ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/ARPIN/BAIAP2/BST1/CAPG/CAPZA2/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CORO1A/CRACD/CRK/CYFIP1/CYRIA/CYRIB/DBN1/EFNA5/F11R/F2RL1/FES/FLII/GMFG/GRB2/GSN/HCK/HCLS1/ID1/IQGAP1/LPAR1/LRP1/MYADM/NEDD9/NOTCH2/PAK1/PAK2/PPM1F/PRKCD/PXN/RAC1/RAC2/RAPGEF3/RHOA/RHOB/RHOG/SLC9A1/SSH2/SSH3/SVIL/TMOD1/TRIOBP/TRPM2/TWF2/VASP/WAS	64	MEbrown
GO:0070997	GO:0070997	neuron death	64/1648	368/18903	6.7285091664914e-08	3.60342249998189e-06	2.68625265479446e-06	ADAM8/ADORA2A/APAF1/ARRB2/BCL2L1/BCL2L11/BID/BTBD10/BTG2/CBL/CCL5/CEBPB/CHGA/CHMP4B/CHP1/CORO1A/CPEB4/CTSZ/DDIT3/DNAJC5/EGLN1/EGLN2/EGR1/EPHB1/FADD/FOXB1/FOXO3/G6PD/GAPDH/GRN/GSK3A/GSK3B/INPP5A/ITGAM/ITGB2/KCNB1/LRRK2/MAP2K4/MAP3K11/MAP3K5/MCL1/NAIP/NCSTN/NGFR/NMNAT1/PICALM/PPT1/PSEN1/RHOA/RILPL1/SIAH1/SIX1/SLC9A1/SNCA/SOD2/SORL1/SULT1A4/TLR4/TLR6/TMBIM6/TNFRSF1B/TRPM2/TYROBP/ZNF746	64	MEbrown
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	56/1648	305/18903	6.80289421744185e-08	3.61043692206756e-06	2.69148171409838e-06	ARAP1/ARAP3/ARHGAP22/ARHGAP24/ARHGAP25/ARHGAP26/ARHGAP27/ARHGAP30/ARHGAP9/ARHGDIB/ARHGEF10L/ARHGEF11/ARHGEF17/ARHGEF2/ARHGEF40/BCL6/CBL/CRK/CYRIB/CYTH4/DENND1A/DENND3/F11R/F2RL1/FGD3/FGD4/FLOT1/GABARAP/GMIP/GPR35/IQSEC1/KBTBD7/LPAR1/MAP4K4/MFN2/MYO9B/NOTCH1/NOTCH2/NRG1/PREX1/RAC1/RAF1/RALBP1/RALGAPA2/RASGRP4/RGL2/RIPOR2/SHOC2/SIPA1/SIPA1L1/SIPA1L2/SOS2/SQSTM1/TIAM2/TRIM67/VAV1	56	MEbrown
GO:0050867	GO:0050867	positive regulation of cell activation	76/1648	467/18903	7.35844553926895e-08	3.83615952848083e-06	2.85975172704518e-06	ACTB/ADAM8/AKIRIN2/BCL10/BCL6/BST1/CCL5/CCR2/CD1D/CD55/CLEC7A/CORO1A/CR1/CSK/CYRIB/F2RL1/FADD/FCHO1/FGR/FLOT2/FOXO3/GAB2/GLI3/HLA-E/HLX/IGHV1-24/IGHV3-72/IGHV3-73/IGLC6/IL12A/IL12B/IL18/IL1RL2/IL4I1/IL4R/ITGAM/ITGB2/JAK3/JUND/LAMP1/LGALS9/LILRA2/LILRB2/LILRB4/LRRK2/LYN/MYD88/NFKBIZ/NLRP3/NOD2/PELI1/PPP3CA/PTAFR/PTPN6/PTPRC/RARA/RHOA/RPS6KA1/SIRPA/SIRPB1/SMARCD3/SOX15/STAT5B/SYK/TGFB1/TGFBR2/TLR4/TLR6/TLR9/TNFSF13/TNFSF14/TSLP/TYROBP/VAV1/VSIR/ZBTB7B	76	MEbrown
GO:0043254	GO:0043254	regulation of protein-containing complex assembly	69/1648	410/18903	7.87165748488085e-08	4.02224001009516e-06	2.99846962308553e-06	ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/ASAP1/BAIAP2/BCL2L11/BID/CAPG/CAPZA2/CD36/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CLEC7A/CORO1A/CRACD/CYFIP1/CYRIA/CYRIB/DBN1/FES/FLII/FNIP1/GRB2/GSK3B/GSN/H3-3A/H3-3B/HCK/HCLS1/HSPA1A/HSPA1B/LCP1/MAPRE3/MED25/MEFV/MSN/MYADM/MYD88/NR1H2/NRG1/PAK1/PLCG2/PRKCD/PSRC1/RAC1/RAF1/RALB/RHOA/SH3GLB1/SNCA/SORL1/SSH2/SSH3/SVIL/SYK/TAL1/TGFB1/TLR4/TLR6/TMOD1/TRIOBP/TWF2/ULK1/VASP/VPS8	69	MEbrown
GO:0032102	GO:0032102	negative regulation of response to external stimulus	72/1648	436/18903	8.9720767074531e-08	4.50206405262648e-06	3.3561652882734e-06	ABAT/ADAR/ADORA2A/ALOX5/AOAH/ARRB2/C5AR2/CEACAM1/CR1/CRK/DRD3/DUSP3/F12/FGL2/FGR/FPR2/FURIN/GRN/HCK/HLA-B/HLA-E/IL12B/IRAK3/KIAA0319/KLRC1/LGALS9/LILRA2/LPCAT3/LYN/MAPK14/MEFV/MUL1/NFKBIL1/NLRP12/NLRP3/NLRX1/NMI/NOD2/NOTCH1/NR1H2/PADI2/PLAU/PLAUR/PRKCD/PROS1/PTEN/PTPRC/RGMA/RIN3/SEC14L1/SEMA3B/SEMA4A/SEMA4B/SEMA6B/SH2B3/SHARPIN/SIGLEC10/SIRPA/SLIT1/SOCS3/SPP1/SYK/THBD/TNFAIP8L2/TNFRSF1A/TNFRSF1B/TRIB1/TRIM21/VSIG4/WFDC1/ZDHHC18/ZFP36	72	MEbrown
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	47/1648	239/18903	9.24634381350438e-08	4.50206405262648e-06	3.3561652882734e-06	BCL6/BID/BST1/CCL5/CCR2/CD1D/CD300A/CD55/CEBPB/CLEC4G/CORO1A/CR1/FADD/HLA-E/IL12A/IL12B/IL18/IL4I1/IRF1/JAK3/LGALS9/LGALS9C/LILRB2/LILRB4/LST1/LYN/MNDA/MYD88/PELI1/PPP3CA/PRKAR1A/PTEN/PTPN6/PTPRC/RAC2/SOS2/STAT5B/SYK/TGFBR2/TLR4/TLR9/TNFRSF1B/TNFRSF9/TYROBP/VSIG4/VSIR/ZBTB7B	47	MEbrown
GO:0046631	GO:0046631	alpha-beta T cell activation	38/1648	174/18903	9.38455796440399e-08	4.53151073510688e-06	3.37811698252748e-06	ADORA2A/BCL3/BCL6/CCR2/CD300A/CD55/CLEC4A/CLEC4G/GLI3/HFE/HLA-E/HLX/IL12A/IL12B/IL18/IL4R/IL6R/IRF1/JAK3/JUNB/LGALS9/LGALS9C/LILRB4/NFKBIZ/NKX2-3/NLRP3/PTPRC/RARA/RHOA/SEMA4A/STAT3/SYK/TCIRG1/TGFBR2/TMEM98/VSIR/WDFY4/ZBTB7B	38	MEbrown
GO:0031341	GO:0031341	regulation of cell killing	27/1648	102/18903	1.12603460360765e-07	5.30677587988215e-06	3.95605588736937e-06	ARRB2/BCL2L1/CD1D/CD55/CD59/CEACAM1/CLEC7A/CR1L/CRK/CYRIB/F2RL1/FADD/HLA-B/HLA-E/ICAM1/IL12A/IL12B/ITGAM/KLRC1/LAMP1/LGALS9/PTPRC/SPI1/STAT5B/SYK/TYROBP/VAV1	27	MEbrown
GO:0032535	GO:0032535	regulation of cellular component size	63/1648	367/18903	1.38496608130354e-07	6.32467843795283e-06	4.71487432982323e-06	ARPC1A/ARPC1B/ARPC3/ARPC4/ARPC5/BAIAP2/CAPG/CAPZA2/CDC42EP1/CDC42EP3/CDC42EP4/CDKL5/CORO1A/CRACD/CYFIP1/CYRIA/CYRIB/DBN1/DIP2B/DISC1/EFNA5/F2RL1/FGF13/FLII/GRB2/GSK3B/GSN/HCK/HCLS1/IFRD1/KIAA0319/LAMTOR4/MSN/MYADM/NDEL1/PICALM/PRKCD/PTEN/RAB5A/RAC1/RHOA/RIN3/RTN4/SEMA3B/SEMA4A/SEMA4B/SEMA6B/SHTN1/SLC12A6/SLC12A9/SLIT1/SPP1/SSH2/SSH3/SVIL/TMOD1/TRIOBP/TRPV4/TWF2/ULK1/VASP/VAV1/WAS	63	MEbrown
GO:0050870	GO:0050870	positive regulation of T cell activation	48/1648	251/18903	1.64548649306906e-07	7.28839167719537e-06	5.43329612115879e-06	ACTB/ADAM8/BCL10/BCL6/CCL5/CCR2/CD1D/CD55/CORO1A/CR1/CSK/CYRIB/FADD/FCHO1/FLOT2/FOXO3/GLI3/HLA-E/HLX/IL12A/IL12B/IL18/IL1RL2/IL4I1/IL4R/JAK3/LGALS9/LILRB2/LILRB4/LYN/NFKBIZ/NLRP3/NOD2/PPP3CA/PTPN6/PTPRC/RARA/RHOA/SIRPA/SIRPB1/SMARCD3/STAT5B/SYK/TGFBR2/TNFSF14/VAV1/VSIR/ZBTB7B	48	MEbrown
GO:0002685	GO:0002685	regulation of leukocyte migration	45/1648	231/18903	2.2899394545053e-07	9.9191421518314e-06	7.39444845526014e-06	ADAM8/BST1/C5AR1/C5AR2/CAMK1D/CCL5/CCR2/CD300A/CNN2/CORO1A/CRK/CXCR2/DAPK2/F2RL1/F7/FADD/FPR2/GPSM3/ICAM1/IL12A/IL1R1/IL6R/LGALS9/LYN/MADCAM1/MAPK3/MOSPD2/MSN/MYD88/NEDD9/NOD2/PADI2/PDGFD/PLVAP/PTAFR/RAC1/RAC2/RHOA/RHOG/RIN3/RIPOR2/SLC8B1/SPI1/TNFSF14/TRPV4	45	MEbrown
GO:0042060	GO:0042060	wound healing	71/1648	442/18903	3.28678444511095e-07	1.36355261733441e-05	1.01649108265403e-05	ABAT/ACTB/ADORA2A/ALOX5/ANXA5/ARHGAP24/CD151/CD36/CD59/CEACAM1/CFLAR/CHMP1A/CHMP2A/CHMP4B/CLEC7A/CLIC1/CNN2/CRK/CXCR4/DGKG/DYSF/EMILIN2/ENTPD1/EXT1/F11R/F12/F2RL1/F5/F7/FERMT3/FUNDC2/GLI3/GNAQ/ITGA5/JAML/LRG1/LYN/MAP3K5/MAPK14/MERTK/MRTFA/NFE2L2/NOTCH2/NRG1/P2RX1/PAK1/PLAU/PLAUR/PLCG2/PPP3CA/PRCP/PRKCD/PROS1/PTEN/PTPN6/RAF1/RHOA/S100A8/SERPINA1/SH2B3/SLC11A1/SYK/TGFA/TGFB1/TGFBR2/THBD/TLN1/TLR4/VAV1/WAS/WFDC1	71	MEbrown
GO:0022604	GO:0022604	regulation of cell morphogenesis	55/1648	312/18903	3.54799742998053e-07	1.45775381638591e-05	1.08671549320766e-05	AGO4/ARAP1/ARAP3/ARPIN/BAIAP2/CASS4/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CDKL5/CFL1/CORO1A/CORO1C/CRK/CUX1/CXCR4/CYFIP1/DBN1/DLG4/DOCK5/EFNA5/F11R/FES/FGD3/FGD4/FGR/FMNL1/HCK/ITGB2/LPAR1/LST1/MARK2/MSN/MUL1/MYADM/MYO10/NEDD9/NTNG2/PDZD8/PLEKHO1/PLXNA2/PLXNB2/PLXNC1/PREX1/RAC1/RAC2/RHOA/RHOB/RHOG/SEMA4A/SPAG9/SYT2/TRIOBP/UNC13D	55	MEbrown
GO:0042098	GO:0042098	T cell proliferation	42/1648	212/18903	3.5633432279676e-07	1.45775381638591e-05	1.08671549320766e-05	BCL6/BID/CCL5/CCR2/CD151/CD1D/CD55/CEBPB/CLEC4G/CORO1A/CR1/FADD/HLA-E/IL12B/IL18/IL4I1/IRF1/JAK3/LGALS9/LGALS9C/LILRB2/LILRB4/MSN/NCSTN/PELI1/PPP3CA/PRKAR1A/PTEN/PTPN6/PTPRC/RAC2/SLC11A1/SOS2/STAT5B/SYK/TGFBR2/TNFRSF1B/TNFRSF9/TNFSF14/VSIG4/VSIR/ZBTB7B	42	MEbrown
GO:0031623	GO:0031623	receptor internalization	29/1648	121/18903	3.92616167284429e-07	1.59510471825695e-05	1.18910682389157e-05	ADM/ARF1/ARRB2/CD36/CD63/CEACAM1/CXCR1/CXCR2/DLG4/DRD3/FLOT1/GRB2/GRK2/ITGB2/LILRB4/LRP1/LRPAP1/NUMB/PICALM/PLCG2/PPP3R1/RAB31/RAB5A/RALB/RAMP1/RIN3/SDCBP/SNCA/SYK	29	MEbrown
GO:0050868	GO:0050868	negative regulation of T cell activation	30/1648	128/18903	4.18067650612713e-07	1.68687433545171e-05	1.25751855685381e-05	ADORA2A/BCL6/CD300A/CEACAM1/CEBPB/CLEC4G/CR1/DUSP3/FGL2/GLI3/HFE/HLX/IL4I1/IL4R/IRF1/JAK3/LAPTM5/LGALS9/LGALS9C/LILRB2/LILRB4/PELI1/PRKAR1A/PTEN/PTPN6/RIPOR2/TNFAIP8L2/VSIG4/VSIR/ZBTB7B	30	MEbrown
