ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type	
GO:0044691	GO:0044691	tooth eruption	4/1636	6/18862	0.000733159	0.00970992	0.007598181	ADAMTS5/FAM20A/SNX10/TCIRG1	4	brown
GO:0072126	GO:0072126	positive regulation of glomerular mesangial cell proliferation	4/1636	6/18862	0.000733159	0.00970992	0.007598181	CFLAR/EGR1/IL6R/PDGFD	4	brown
GO:0051346	GO:0051346	negative regulation of hydrolase activity	60/1636	456/18862	0.000752559	0.00991148	0.007755905	ADORA2A/APLP2/ARRB2/BOD1L1/CHP1/COL7A1/CPAMD8/CPEB2/CR1/CSTB/EGLN1/ELL/F11R/FKBP15/FKBP1A/FNIP1/FURIN/GAPDH/GMIP/GNAI2/GSK3B/GZMA/IQGAP1/LMTK2/LRP1/LRRK2/MMP9/NAIP/NGFR/NOL3/PAK2/PCIF1/PHACTR1/PICALM/PLAUR/PLIN5/PPIF/PPP1R14A/PPP1R14C/PPP1R9B/PROS1/PXK/RAF1/RENBP/RPS6KA1/SERPINA1/SERPINB1/SNCA/SORL1/SORT1/SPINT1/SPINT2/SPOCK1/STYXL1/TIMP2/TIMP4/TMBIM6/TNFSF14/WFDC1/ZFYVE1	60	brown
GO:0098657	GO:0098657	import into cell	35/1636	230/18862	0.000762742	0.010027024	0.00784632	ACSL1/ACTB/CD36/DRD3/FLOT1/GLUL/HFE/KCNJ15/KCNJ2/MX2/NEURL1B/NTSR1/NUMB/PSEN1/SLC12A6/SLC12A9/SLC15A3/SLC15A4/SLC19A1/SLC22A1/SLC22A4/SLC27A2/SLC29A4/SLC2A3/SLC31A1/SLC36A1/SLC43A2/SLC6A6/SLC8A1/SLC9A1/SLC9C2/SNCA/TRPM2/TRPV4/TSG101	35	brown
GO:0072659	GO:0072659	protein localization to plasma membrane	40/1636	275/18862	0.000836297	0.010833777	0.008477618	ACTB/BCL2L1/CSK/EHD1/F11R/FAM126B/FCHO2/FGF13/FLOT1/FLOT2/KCNB1/KIF13A/LRP1/MYADM/NUMB/PACS1/PICALM/PPP1R9B/PPP2R5A/PRAM1/PRKG2/RAB31/RAB34/RAB3D/RAB7A/RAMP1/RAPGEF2/RHOG/RILPL1/RILPL2/SLC9A3R2/SQSTM1/STAC3/STX3/TGFB1/TMBIM1/TNFRSF1A/TSPAN5/VAMP3/ZDHHC7	40	brown
GO:0050803	GO:0050803	regulation of synapse structure or activity	33/1636	214/18862	0.000842278	0.01087166	0.008507262	ARHGAP22/CDC42/CDKL5/CFL1/CYFIP1/DBN1/DISC1/EFNA1/EPHB1/IGSF9/IL1RAP/LILRB2/LRFN1/LRFN2/LRRK2/MAPK14/MX2/NECTIN1/NEURL1/NTNG2/OXT/PPT1/PTEN/RHOA/SEMA4A/SIPA1L1/SIX1/SLIT1/SLITRK4/SNCA/SRGN/TUBA1A/ZNF804A	33	brown
GO:0006643	GO:0006643	membrane lipid metabolic process	33/1636	215/18862	0.000914063	0.011650213	0.009116494	ALDH3B1/ASAH1/B4GALT5/CLN6/CTSA/CYP1B1/CYP4F22/DPM2/ELOVL5/GAL3ST3/GBA/GLA/GLB1/MGST2/MPPE1/NAGA/NEU1/ORMDL2/P2RX1/PIGX/PNPLA1/PPT1/PRKCD/SFTPB/SGMS2/SPHK1/ST3GAL2/ST3GAL6/ST6GALNAC3/ST6GALNAC4/ST8SIA4/TNFRSF1A/VAPA	33	brown
GO:0090199	GO:0090199	regulation of release of cytochrome c from mitochondria	11/1636	44/18862	0.001057287	0.013145847	0.010286853	ARRB2/BBC3/BCL2L1/BCL2L11/BID/MMP9/NOL3/PLAUR/PPIF/PRELID1/TNFSF10	11	brown
GO:0051770	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	6/1636	15/18862	0.001062023	0.013158727	0.010296932	LRRK2/MAP2K4/NAMPT/NOD2/TLR4/TLR9	6	brown
GO:0006979	GO:0006979	response to oxidative stress	58/1636	444/18862	0.001087264	0.013401421	0.010486844	ADAM9/ALDH3B1/ALOX5/ATG7/CAMKK2/CD36/CFLAR/CPEB2/CRK/CYBA/CYBB/CYP1B1/DAPK1/EGLN1/ERO1A/FOXO3/G6PD/GPR37L1/GUCY1B1/HSPA1A/HSPA1B/HYAL1/HYAL2/KDM6B/LRRK2/MAP3K5/MAPK13/MAPK3/MCL1/MCTP1/MMP9/MSRB2/MTF1/NCF1/NCF2/NCF4/NFE2L2/NOL3/OSER1/PDGFD/PLK3/PPIF/PRKCD/PSEN1/PTGS2/PXN/RGS14/RHOB/SIRPA/SLC8A1/SNCA/SOD2/SP1/SPHK1/TLR4/TLR6/TRPM2/TXNRD1	58	brown
GO:0097300	GO:0097300	programmed necrotic cell death	12/1636	51/18862	0.001133805	0.013878869	0.010860455	ARHGEF2/ASAH1/CD14/CFLAR/FADD/IPMK/MAP3K5/PELI1/PPIF/PYGL/TICAM2/TLR4	12	brown
GO:0048771	GO:0048771	tissue remodeling	28/1636	175/18862	0.001136016	0.013882042	0.010862938	ADAM8/CAPN1/CCR2/CEACAM1/CSK/DEF8/EXT1/IL12B/IL18/JAG1/LIF/LRRK1/NOL3/NOTCH2/PLEKHM1/PPP3CA/RAB3D/RAC1/RAC2/RASSF2/RBPJ/SNX10/SPP1/SYK/TCIRG1/TGFB1/TMBIM1/TNFRSF11A	28	brown
GO:0035304	GO:0035304	regulation of protein dephosphorylation	24/1636	142/18862	0.001152766	0.014017803	0.010969174	BOD1L1/CD300A/CD33/CNEP1R1/FKBP1A/GBA/GNAI2/GSK3B/LILRB2/LMTK2/PHACTR1/PPP1R14A/PPP1R14C/PPP1R3B/PPP1R9B/PPP2R5A/PPP3R1/PPP4R1/PPP4R1L/PRKCD/PTPRC/SHOC2/STYXL1/TGFB1	24	brown
GO:0046466	GO:0046466	membrane lipid catabolic process	10/1636	38/18862	0.001156224	0.014017803	0.010969174	ASAH1/CYP1B1/GBA/GLA/MGST2/NAGA/NEU1/PPT1/PRKCD/SPHK1	10	brown
GO:0010324	GO:0010324	membrane invagination	24/1636	143/18862	0.001273808	0.015277106	0.0119546	ARF1/ARHGAP25/CD300A/CD36/CDC42/CHMP2A/F2RL1/FCGR1A/FCHO2/GSN/GULP1/IGHV1-24/IGHV3-72/IGHV3-73/IGLC6/ITGAM/ITGB2/RAB31/RAC1/RAC2/RHOA/RHOG/SNX18/XKR8	24	brown
GO:0008217	GO:0008217	regulation of blood pressure	28/1636	177/18862	0.001355721	0.016177662	0.012659301	ADM/ADM2/AGTRAP/ANPEP/ATP2B1/AVPR1B/CHGA/CNR1/CTSZ/DRD3/ECE1/EXT1/F11R/F2RL1/GPR37L1/GSK3A/GUCY1A1/MME/NTSR1/OXT/P2RX1/PRCP/PTAFR/PTGS2/RENBP/SCPEP1/SGK1/SOD2	28	brown
GO:0010639	GO:0010639	negative regulation of organelle organization	47/1636	346/18862	0.001390011	0.016559065	0.012957755	ARAP1/ARHGEF2/ARPIN/ARRB2/AURKAIP1/BCL2L1/CAPG/CAPZA2/CHMP4B/CORO1A/CRACD/CYRIB/DYNC1LI1/F11R/FGF13/FLII/FNIP1/GMFG/GSN/H3-3A/H3-3B/HSPA1A/LIF/LILRB2/LIMK2/LRRK2/MID1IP1/MUL1/MYADM/NOL3/PAK2/PHF23/PPIF/PRELID1/PRKAR1A/PRKCD/RAB7A/SNCA/SSH2/SSH3/STYXL1/SVIL/TMOD1/TRIM9/TRIOBP/TWF2/WAS	47	brown
GO:0120032	GO:0120032	regulation of plasma membrane bounded cell projection assembly	29/1636	186/18862	0.001415538	0.016801069	0.013147127	ARAP1/ARHGAP24/ATG3/CDC42/CDC42EP1/CDC42EP3/CDC42EP4/CDKL5/CORO1C/CYFIP1/DEF8/F2RL1/HDAC4/ICAM1/LIMK2/MARK4/MYO10/NDEL1/NEURL1/PLEKHM1/PRKCD/RAB5A/RAC1/RAC2/RHOG/RIPOR2/TRPM2/TWF2/WAS	29	brown
GO:0003177	GO:0003177	pulmonary valve development	7/1636	21/18862	0.001426017	0.016801069	0.013147127	HEY1/JAG1/NOTCH1/NOTCH2/RBPJ/TNFRSF1A/TNFRSF1B	7	brown
GO:0072574	GO:0072574	hepatocyte proliferation	7/1636	21/18862	0.001426017	0.016801069	0.013147127	CEACAM1/CEBPB/CFLAR/GLI1/NOTCH2/RPS6KA1/SULF2	7	brown
GO:0072575	GO:0072575	epithelial cell proliferation involved in liver morphogenesis	7/1636	21/18862	0.001426017	0.016801069	0.013147127	CEACAM1/CEBPB/CFLAR/GLI1/NOTCH2/RPS6KA1/SULF2	7	brown
GO:0048638	GO:0048638	regulation of developmental growth	44/1636	319/18862	0.0014317	0.016801069	0.013147127	ATP8A2/BCL2L11/CDKL5/CTDP1/CXCR4/CYFIP1/DBN1/DIP2B/DISC1/DUSP6/FGF13/G6PD/GLI1/GSK3A/GSK3B/HLX/KIAA0319/LATS2/LRP1/MAPK14/MUL1/NDEL1/NOTCH1/PAK1/PTEN/RBPJ/RTN4/SEMA3B/SEMA4A/SEMA4B/SEMA6B/SHTN1/SIX1/SOX15/SPAG9/SPP1/STAT5A/STAT5B/STK3/SYT2/TGFBR2/TP73/TWF2/WWC3	44	brown
GO:0061314	GO:0061314	Notch signaling involved in heart development	5/1636	11/18862	0.001443399	0.016801069	0.013147127	HEY1/JAG1/NOTCH1/NOTCH2/RBPJ	5	brown
GO:0140052	GO:0140052	cellular response to oxidised low-density lipoprotein particle stimulus	5/1636	11/18862	0.001443399	0.016801069	0.013147127	CD36/CD68/MYD88/TLR4/TLR6	5	brown
GO:0050807	GO:0050807	regulation of synapse organization	31/1636	204/18862	0.001513425	0.017473174	0.013673061	ARHGAP22/CDC42/CDKL5/CFL1/CYFIP1/DBN1/DISC1/EFNA1/EPHB1/IGSF9/IL1RAP/LILRB2/LRFN1/LRFN2/LRRK2/MAPK14/NECTIN1/NEURL1/NTNG2/OXT/PTEN/RHOA/SEMA4A/SIPA1L1/SIX1/SLIT1/SLITRK4/SNCA/SRGN/TUBA1A/ZNF804A	31	brown
GO:0060191	GO:0060191	regulation of lipase activity	18/1636	97/18862	0.00156809	0.017785544	0.013917496	ABHD5/AVPR1B/C5AR1/CCL5/FURIN/GNAQ/LPAR1/LPAR2/LRP1/NR1H2/PCSK6/PLIN5/PTAFR/RASGRP4/RHOA/S1PR4/SNCA/SORT1	18	brown
GO:0071800	GO:0071800	podosome assembly	6/1636	16/18862	0.001575284	0.017785544	0.013917496	ASAP1/GSN/HCK/LCP1/MSN/SH3PXD2B	6	brown
GO:0046477	GO:0046477	glycosylceramide catabolic process	4/1636	7/18862	0.001592997	0.017785544	0.013917496	GBA/GLA/NAGA/PRKCD	4	brown
GO:0002090	GO:0002090	regulation of receptor internalization	12/1636	53/18862	0.00162087	0.017972431	0.014063738	ARF1/ARRB2/CD63/DLG4/DRD3/FLOT1/LRPAP1/NUMB/PLCG2/RIN3/SDCBP/SYK	12	brown
GO:0061351	GO:0061351	neural precursor cell proliferation	23/1636	138/18862	0.001747537	0.019268971	0.015078304	ARHGEF2/BTG2/C5AR1/CTNNA1/DBN1/DISC1/EPHB1/FGF13/GLI1/GLI3/GNAI2/GPR37L1/LRRK2/LYN/NOTCH1/NUMB/PLXNB2/RERE/RPGRIP1/SMARCD3/SPINT1/SPINT2/ZNF503	23	brown
GO:0150115	GO:0150115	cell-substrate junction organization	19/1636	106/18862	0.001800053	0.019695347	0.01541195	ACTN1/CD151/CORO1C/DUSP3/EFNA5/IQGAP1/IQSEC1/ITGA5/ITGB4/LRP1/MAP4K4/PPM1F/PTEN/PTPRJ/RAC1/RHOA/SLC9A1/TLN1/TRIP6	19	brown
GO:0006022	GO:0006022	aminoglycan metabolic process	27/1636	172/18862	0.001833713	0.020032817	0.015676026	B3GAT1/B3GNT7/B3GNT8/B3GNT9/B4GALT5/CHIT1/CHP1/CHST11/CHST13/CHST15/CHSY1/CLN6/CSGALNACT1/CTBS/DSE/EXT1/GAL3ST3/GLB1/GNS/HYAL1/HYAL2/NDST1/SLC9A1/ST3GAL2/ST3GAL6/TGFB1/VCAN	27	brown
GO:0016485	GO:0016485	protein processing	33/1636	224/18862	0.00184087	0.020049413	0.015689013	ADAM19/ADAM8/ASPH/C1RL/CASP4/CPD/CPM/CPXM1/CTSS/CTSZ/ECE1/ENO1/F12/F7/FADD/FURIN/GLI3/GSN/HM13/LPCAT3/LRRK2/MME/NCSTN/NOL3/PCSK6/PGK1/PISD/PLAU/PRKACA/PSEN1/SRGN/TMEM98/VSIR	33	brown
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	41/1636	296/18862	0.001882951	0.020476377	0.016023119	ALOX5/APAF1/ATF6/ATP6V0D1/BAG6/BBC3/BCAP31/BCL2L1/BCL2L11/CASP4/CEBPB/CLGN/CTDSP2/DDIT3/DNAJB12/DNAJC3/EDEM2/ERO1A/ERP44/EXTL3/FLOT1/GSK3A/GSK3B/HM13/HSPA1A/LPCAT3/LRRK2/MAP3K5/NFE2L2/NIBAN1/NR1H2/NRBF2/OS9/RCN3/SULT1A4/TLN1/TMBIM6/TMEM33/TMUB2/TRIM25/UBE2J1	41	brown
GO:0033619	GO:0033619	membrane protein proteolysis	13/1636	61/18862	0.001896938	0.020565581	0.016092923	ADAM19/ADAM8/ADAM9/FURIN/HM13/NCSTN/NGFR/NRDC/PSEN1/TGFB1/TIMP2/TIMP4/TNFRSF1B	13	brown
GO:1903034	GO:1903034	regulation of response to wounding	26/1636	164/18862	0.001911739	0.020573702	0.016099278	ALOX5/CD36/CEACAM1/CLEC7A/CRK/CXCR4/F12/F2RL1/F7/GRN/KIAA0319/LRP1/NDEL1/NFE2L2/PLAU/PLAUR/PRKCD/PROS1/PTEN/RGMA/SCARF1/SH2B3/SIGLEC10/SPP1/THBD/WFDC1	26	brown
GO:0048524	GO:0048524	positive regulation of viral process	17/1636	91/18862	0.001938186	0.020573702	0.016099278	ADAR/CCL5/CHMP2A/CHMP4B/CLEC4G/CTDP1/LGALS9/NOTCH1/POLR2C/POLR2E/RAB7A/SRPK1/SUPT4H1/TRIM21/TSG101/VAPA/VPS37B	17	brown
GO:0002526	GO:0002526	acute inflammatory response	19/1636	107/18862	0.002014565	0.021249504	0.016628105	ADAM8/CD163/CEBPB/CNR1/EXT1/F12/HFE/HLA-E/ICAM1/IL6R/NLRP3/OSM/OSMR/PRCP/PTGS2/S100A8/SERPINA1/TNFRSF11A/TREM1	19	brown
GO:1900026	GO:1900026	positive regulation of substrate adhesion-dependent cell spreading	10/1636	41/18862	0.002158928	0.022579846	0.01766912	CASS4/CDC42/CRK/DOCK5/MYADM/NEDD9/PREX1/RAC1/TRIOBP/UNC13D	10	brown
GO:0045453	GO:0045453	bone resorption	13/1636	62/18862	0.002213162	0.023011709	0.018007061	ADAM8/CSK/DEF8/LRRK1/PLEKHM1/RAB3D/RAC1/RAC2/SNX10/SPP1/SYK/TCIRG1/TNFRSF11A	13	brown
GO:0007044	GO:0007044	cell-substrate junction assembly	18/1636	100/18862	0.00223412	0.023088582	0.018067215	ACTN1/CD151/CORO1C/DUSP3/EFNA5/IQGAP1/ITGA5/ITGB4/LRP1/MAP4K4/PPM1F/PTEN/PTPRJ/RAC1/RHOA/SLC9A1/TLN1/TRIP6	18	brown
GO:0001503	GO:0001503	ossification	52/1636	401/18862	0.002237118	0.023088582	0.018067215	ADAR/ALOX5/ATP2B1/BMP2K/CEBPB/CHSY1/CLEC5A/CLIC1/CSGALNACT1/EXT1/FBN2/FGR/FSTL3/GLI1/GLI3/H3-3A/H3-3B/HDAC4/HDAC7/IGSF10/IL6R/JAG1/JUNB/JUND/KAZALD1/KL/MAPK14/MAPK3/MMP9/MN1/NBR1/NOTCH1/OSTF1/OXT/PDLIM7/PRKACA/RASSF2/RBPJ/RFLNB/RHOA/SBNO2/SGMS2/SLC8A1/SNX10/SORT1/SPP1/SRGN/TCIRG1/TGFB1/TNFRSF11A/TUFT1/VCAN	52	brown
GO:0034393	GO:0034393	positive regulation of smooth muscle cell apoptotic process	6/1636	17/18862	0.002257275	0.023088582	0.018067215	E2F3/IL12A/IL12B/MAP2K4/MFN2/SOD2	6	brown
GO:0033628	GO:0033628	regulation of cell adhesion mediated by integrin	11/1636	48/18862	0.002259266	0.023088582	0.018067215	ADAM9/CCL5/CRK/CYP1B1/EFNA1/FERMT3/LIF/LYN/PLAU/PTPN6/SYK	11	brown
GO:0070839	GO:0070839	metal ion export	11/1636	48/18862	0.002259266	0.023088582	0.018067215	ATP2B1/ATP7B/KCND3/KCNE1/KCNE3/KCNQ1/SLC11A1/SLC40A1/SLC8A1/SLC8B1/SLC9A1	11	brown
GO:0098900	GO:0098900	regulation of action potential	12/1636	55/18862	0.002268163	0.023088582	0.018067215	CD36/CNR1/DSC2/FGF13/GBA/GPR35/KCNB1/KCNE3/KCNJ2/NTSR1/RYR2/SLC9A1	12	brown
GO:1902991	GO:1902991	regulation of amyloid precursor protein catabolic process	12/1636	55/18862	0.002268163	0.023088582	0.018067215	ABCG1/EFNA1/FKBP1A/FLOT2/GSK3A/IFNGR1/LYN/PICALM/RTN3/RTN4/SORL1/SP1	12	brown
GO:0019216	GO:0019216	regulation of lipid metabolic process	52/1636	402/18862	0.002358742	0.023636989	0.018496353	ABCG1/ABHD5/ACOX1/ACSL1/ADM/ARF1/ASAH1/CD36/CDC42/CEACAM1/CHP1/CNEP1R1/CNR1/DGAT2/EGR1/ELOVL5/FGR/FPR2/G0S2/HCAR2/HMGCR/KPNB1/LACTB/LPCAT3/LYN/MBOAT7/MID1IP1/MTMR3/NCOA1/NFYC/NOD2/NPC2/NR1H2/ORMDL2/PANK2/PLIN5/PNPLA2/PPP2R5A/PRKCD/PTGS2/RUBCNL/RXRA/SMARCD3/SORL1/SP1/SPHK1/STAT5B/TBL1X/TGFB1/TIAM2/TNFRSF1A/TXNRD1	52	brown
GO:0045861	GO:0045861	negative regulation of proteolysis	46/1636	346/18862	0.002391916	0.023803157	0.018626383	ADORA2A/APLP2/ARRB2/BAG6/COL7A1/CPAMD8/CR1/CSTB/CTSZ/EFNA1/FNIP1/FURIN/GABARAPL2/GAPDH/HFE/LRP1/LRRK2/MMP9/N4BP1/NAIP/NGFR/NOL3/NR1H2/PAK2/PICALM/PLAUR/PROS1/PSEN1/RAF1/RENBP/RPS6KA1/RYBP/SDCBP/SERPINA1/SERPINB1/SNCA/SORL1/SPINT1/SPINT2/SPOCK1/TIMP2/TIMP4/TMEM98/TNFSF14/TRIM21/WFDC1	46	brown
GO:0014812	GO:0014812	muscle cell migration	18/1636	101/18862	0.002503066	0.024690439	0.019320696	ARPC5/CCL5/CRK/DOCK5/HDAC4/IQGAP1/LPAR1/LRP1/NDRG4/NFE2L2/PAK1/PDGFD/PLAU/PLEKHO1/S100A11/SIX1/SORL1/TRIB1	18	brown
GO:0070372	GO:0070372	regulation of ERK1 and ERK2 cascade	41/1636	301/18862	0.002571756	0.024982223	0.019549022	ARRB2/BMPER/C5AR1/C5AR2/CCL5/CD36/CEACAM1/CFLAR/CSK/DUSP3/DUSP6/EPHB1/F2RL1/FPR2/GLIPR2/GNAI2/ICAM1/LGALS9/LIF/LRP1/LYN/MAPK3/NDRG4/NOD2/NOTCH1/NOTCH2/NQO2/PDGFD/PRMT5/PTEN/PTPN6/PTPRC/RAPGEF2/RGS14/SCIMP/SIRPA/SYK/TGFB1/TLR4/TNFRSF11A/TNIP1	41	brown
GO:0006622	GO:0006622	protein targeting to lysosome	7/1636	23/18862	0.002577566	0.024982223	0.019549022	LAMP2/LAPTM5/NCOA4/RAB7A/SORL1/SORT1/ZFYVE16	7	brown
GO:0097186	GO:0097186	amelogenesis	7/1636	23/18862	0.002577566	0.024982223	0.019549022	CSF3R/FAM20A/FAM20C/NECTIN1/RELT/SLC24A4/TCIRG1	7	brown
GO:0140029	GO:0140029	exocytic process	15/1636	78/18862	0.00260141	0.025035493	0.019590707	CTBP2/EXOC6/KCNB1/LYN/P2RX1/PSEN1/RAB3D/RALB/SNAP23/SNCA/STX11/STX3/STXBP2/SYK/VAMP3	15	brown
GO:0009311	GO:0009311	oligosaccharide metabolic process	12/1636	56/18862	0.002663155	0.025457472	0.019920913	CTBS/GAA/GAL3ST3/GLA/MGAM/NAGA/NEU1/ST3GAL2/ST3GAL6/ST6GALNAC3/ST6GALNAC4/ST8SIA4	12	brown
GO:0010821	GO:0010821	regulation of mitochondrion organization	24/1636	151/18862	0.002699586	0.025667726	0.02008544	ARRB2/BBC3/BCL2L1/BCL2L11/BID/BNIP3L/CAMKK2/CYRIB/E2F1/FNIP1/GSK3A/GSK3B/HSPA1A/LRRK2/MMP9/MUL1/NOL3/PLAUR/PPIF/PPP3R1/PRELID1/SQSTM1/TNFSF10/TP73	24	brown
GO:0033692	GO:0033692	cellular polysaccharide biosynthetic process	14/1636	71/18862	0.002799263	0.026403658	0.020661319	B3GNT7/B3GNT8/B3GNT9/B4GALT5/CSGALNACT1/ESRRB/EXT1/GSK3A/GSK3B/GYG1/NDST1/PGM2/PPP1R3B/PPP1R3D	14	brown
GO:0043627	GO:0043627	response to estrogen	14/1636	71/18862	0.002799263	0.026403658	0.020661319	ARID5A/ARPC1B/CITED4/CTNNA1/F7/GBA/GLI3/IL4R/NCOA4/RARA/SRA1/TGFBR2/TRIM25/WBP2	14	brown
GO:0050818	GO:0050818	regulation of coagulation	14/1636	71/18862	0.002799263	0.026403658	0.020661319	ANXA5/CD36/CEACAM1/F12/F2RL1/F7/NFE2L2/PLAU/PLAUR/PRKCD/PROS1/PSEN1/SH2B3/THBD	14	brown
GO:0009895	GO:0009895	negative regulation of catabolic process	42/1636	312/18862	0.002863432	0.026937475	0.021079041	ATG7/BAG6/BANP/CBFA2T3/CHMP4B/CNR1/CTSA/DAP/DHX34/E2F1/EFNA1/FURIN/GABARAPL2/GSK3A/HCAR2/HDAC4/HFE/HMGCR/IRAK3/LRRK2/MAPK14/MAPKAPK2/MCL1/MYD88/N4BP1/NMNAT1/PHF23/PLIN5/PSEN1/QSOX1/RYBP/SDCBP/SLC11A1/SNCA/SORL1/STAT3/TBC1D14/TIMP2/TIMP4/YBX1/ZDHHC7/ZFP36	42	brown
GO:0042092	GO:0042092	type 2 immune response	9/1636	36/18862	0.002966834	0.027587783	0.021587918	BCL3/BCL6/CCR2/HLX/IL18/IL4R/NLRP3/NOD2/RARA	9	brown
GO:0051620	GO:0051620	norepinephrine uptake	4/1636	8/18862	0.002967471	0.027587783	0.021587918	ACTB/SLC22A1/SLC29A4/SNCA	4	brown
GO:0006029	GO:0006029	proteoglycan metabolic process	16/1636	87/18862	0.003060122	0.0282644	0.022117382	B3GAT1/CANT1/CHST11/CHST13/CHST15/CHSY1/CSGALNACT1/DSE/EXT1/EXTL3/GAL3ST3/HYAL1/NDST1/SULF2/TCF7L2/VCAN	16	brown
GO:0002281	GO:0002281	macrophage activation involved in immune response	6/1636	18/18862	0.003139862	0.028629099	0.022402766	DYSF/GRN/NMI/SBNO2/SYK/TYROBP	6	brown
GO:0097178	GO:0097178	ruffle assembly	10/1636	43/18862	0.003149558	0.028644058	0.022414472	ARHGAP24/CORO1C/CYFIP1/DEF8/ICAM1/NDEL1/PLEKHM1/RAC1/RHOG/SNX10	10	brown
GO:0002828	GO:0002828	regulation of type 2 immune response	8/1636	30/18862	0.003252504	0.029280772	0.022912711	BCL6/CCR2/HLX/IL18/IL4R/NLRP3/NOD2/RARA	8	brown
GO:0051923	GO:0051923	sulfation	7/1636	24/18862	0.003369979	0.030147539	0.023590971	CHSY1/EXT1/NDST1/SULT1A1/SULT1A4/SULT1B1/TPST1	7	brown
GO:0070555	GO:0070555	response to interleukin-1	30/1636	206/18862	0.003436348	0.030355888	0.023754008	CCL5/CEBPB/EGR1/HDAC4/HYAL1/HYAL2/ICAM1/IL1R1/IL1RAP/IL1RL2/IL1RN/IRAK3/LGALS9/MAP3K3/MAPK13/MAPK3/MYD88/NFKBIA/NOD2/PELI1/PELI2/PSMD4/SIRPA/SNCA/SQSTM1/TNFRSF11A/TOLLIP/UBC/UPF1/USP10	30	brown
GO:0070507	GO:0070507	regulation of microtubule cytoskeleton organization	22/1636	137/18862	0.003488365	0.030403499	0.023791264	ARHGEF2/BICD2/CHMP1A/CHMP2A/CHMP4B/EFNA5/FES/FGF13/GPSM2/GSK3B/HSPA1A/HSPA1B/MAPRE3/MARK2/MID1IP1/PAK1/PSRC1/RAC1/SKA3/SNCA/TACC3/TRPV4	22	brown
GO:0031100	GO:0031100	animal organ regeneration	14/1636	73/18862	0.003654032	0.031632889	0.024753283	ADM/C5AR1/CEBPB/F7/GLI1/GLI3/HFE/IGF2R/LCP1/NOTCH1/PKM/PRMT5/SULF2/TGFBR2	14	brown
GO:0061025	GO:0061025	membrane fusion	26/1636	172/18862	0.003735414	0.032240611	0.025228836	CHP1/CORO1A/CXCR4/DYSF/FOLR3/GCA/GNAI3/HYAL2/LLCFC1/MX2/NSFL1C/RAB34/RAB7A/RUBCNL/SNAP23/SNCA/SPHK1/STX10/STX11/STX12/STX3/TRIM9/UBXN2B/VAMP3/VAPA/VPS8	26	brown
GO:0014910	GO:0014910	regulation of smooth muscle cell migration	15/1636	81/18862	0.003796213	0.032607084	0.025515608	CCL5/CRK/DOCK5/HDAC4/IQGAP1/LPAR1/LRP1/NDRG4/NFE2L2/PAK1/PDGFD/PLAU/S100A11/SORL1/TRIB1	15	brown
GO:1905897	GO:1905897	regulation of response to endoplasmic reticulum stress	15/1636	81/18862	0.003796213	0.032607084	0.025515608	ALOX5/ATF6/BAG6/BCAP31/BCL2L1/BCL2L11/DDIT3/DNAJC3/HSPA1A/LPCAT3/LRRK2/NFE2L2/NR1H2/TMBIM6/TMEM33	15	brown
GO:0022406	GO:0022406	membrane docking	27/1636	181/18862	0.003819724	0.03272997	0.025611768	B9D2/CEP63/CHP1/CTBP2/EXOC6/ICAM1/KCNB1/MARK4/MSN/NDE1/NDRG4/NINL/PDZD8/PRKACA/RAB3D/RAB7A/RALB/SCLT1/STX10/STX11/STX12/STX3/STXBP2/TUBA1A/TUBA4A/TUBB4B/VAMP3	27	brown
GO:0043409	GO:0043409	negative regulation of MAPK cascade	27/1636	181/18862	0.003819724	0.03272997	0.025611768	CD300A/CSK/DUSP18/DUSP3/DUSP6/EFNA1/F2RL1/GBA/HIPK3/HYAL2/IGF1R/IRAK3/LIF/LILRB4/LYN/PRKCD/PTEN/PTPN6/PTPRC/PTPRJ/RGS14/RNF149/SH2B3/SIRPA/SORL1/TLR4/TNIP1	27	brown
GO:0015850	GO:0015850	organic hydroxy compound transport	37/1636	271/18862	0.003883441	0.033156105	0.025945227	ABCG1/ACTB/ADORA2A/AQP9/CD36/CEACAM1/CHGA/CNR1/DRD3/EEPD1/FURIN/GRAMD1A/GRK2/KCNB1/LPCAT3/LRP1/NCOA1/NFKBIA/NPC2/NR1H2/OSBPL11/OSBPL1A/OSBPL2/OSBPL8/OXT/P2RX1/RALBP1/RXRA/SLC16A3/SLC22A1/SLC29A4/SLC5A11/SNCA/SPP1/STX12/SYK/SYT2	37	brown
GO:0045761	GO:0045761	regulation of adenylate cyclase activity	8/1636	31/18862	0.004055865	0.034380584	0.026903402	CAP1/CAP2/CCR2/DRD3/GNAI2/GNAI3/P2RY13/TIMP2	8	brown
GO:0060317	GO:0060317	cardiac epithelial to mesenchymal transition	8/1636	31/18862	0.004055865	0.034380584	0.026903402	ADAM15/EFNA1/HEY1/JAG1/NOTCH1/RBPJ/RTN4/TGFBR2	8	brown
